# NT-Forensik — WordPress-Eintraege aus dem KEV-Katalog der CISA
# Quelle: cisa.gov, Werk einer US-Behoerde (gemeinfrei). Siehe ../QUELLEN.md
# Katalogfassung: 2026.08.06
# cve	hersteller	produkt	aufgenommen	ransomware
CVE-2019-9978	WordPress	Social Warfare Plugin	2021-11-03	Unknown
CVE-2020-11738	WordPress	Snap Creek Duplicator Plugin	2021-11-03	Unknown
CVE-2020-25213	WordPress	File Manager Plugin	2021-11-03	Unknown
CVE-2026-41940	WebPros	cPanel & WHM and WP2 (WordPress Squared)	2026-04-30	Known
CVE-2026-60137	WordPress	Core	2026-07-21	Unknown
CVE-2026-63030	WordPress	Core	2026-07-21	Unknown
