# element	type	folder	name	patch_version	status	cve	url
com_magiczoomplus	component		com_magiczoomplus	3.3.6	Resolved		
com_medialibrary	component		MediaLibrary	3.5.5	Resolved		
com_medialibrary	component		MediaLibrary	4.0.21	Resolved	CVE-2018-5971	
com_muscol	component		MusCol	2.4.10	Resolved		
com_myproject	component		COM_MYPROJECT	2.1	Resolved		
com_neorecruit	component		com_neorecruit	4.2.2	Resolved	CVE-2018-6370	
com_nexevocontact	component		COM_NEXEVOCONTACT		Resolved		
com_nge	component		com_nge	2.2.0	Resolved		
com_nitro_layer_slider	component		com_nitro_layer_slider	1.0.1	Resolved		
com_ns_downloadshop	component		com_ns_downloadshop	2.2.8	Resolved		
com_onevote	component		OneVote!	1.2.2	Resolved		
com_os_cck	component		COM_OS_CCK	2.0.5	Resolved		
com_osservicesbooking	component		Osservicesbooking	2.5.2	Resolved		
com_phocagallery					Live		
com_phocagallery					Resolved		
com_phocaguestbook					Resolved		
com_portfoliogallery	component		COM_PORTFOLIOGALLERY	1.1.0	Resolved		
com_poweradmin	component		PowerAdmin	2.3.2	Resolved		
com_prayercenter	component		COM_PRAYERCENTER	3.0.2	Resolved	CVE-2018-7314	
com_price_alert	component		com_price_alert		Live		
com_rand	component		COM_RAND	1.5.1	Resolved		
com_rand	component		COM_RAND	1.5.3	Resolved		
com_realestatemanager	component		RealEstateManager	3.9.8	Resolved		
com_realpin	component		RealPin		Live	CVE-2018-6005	
com_registrationpro	component		COM_REGISTRATIONPRO	4.1.3	Resolved		
com_rpl	component		RPL		Live		
com_rsappt_pro3	component		com_rsappt_pro3	4.0.2 (RC2	Resolved		
com_rsfiles				1.17.8	Resolved		
com_rsform				2.2.1	Resolved		
com_rsmonials	component		COM_RSMONIALS		Live		
com_saxumastro	component		com_saxumastro		Live	CVE-2018-7180	
com_saxumnumerology	component		com_saxumnumerology		Live	CVE-2018-7177	
com_saxumpicker	component		com_saxumpicker		Live	CVE-2018-7178	
com_securitycheck	component		Securitycheck	2.8.10	Resolved		
com_simgenealogy	package		SIMGenealogy	2.1.8	Resolved		
com_simplecalendar	component		com_simplecalendar	3.2.1	Resolved	CVE-2018-5974	
com_simpleimageupload	component		SimpleImageUpload		Live		
com_slider	component		COM_SLIDER	1.1.0	Resolved		
com_spmoviedb	component		COM_SPMOVIEDB	1.4	Resolved		
com_squadmanagement	component		Squad Management!		Live	CVE-2018-7179	
com_streetguess	component		com_streetguess	1.1.13	Resolved		
com_streetguess	component		com_streetguess	1.1.8	Resolved		
com_timetable	component		COM_TIMETABLE	1.7	Resolved	CVE-2018-6583	
com_twitchtv	component		twitchtv		Live		
com_userbench	component		com_userbench	1.1	Resolved		
com_vehiclemanager	component		VehicleManager	3.9.5	Resolved		
com_videogallerylite	component		COM_VIDEOGALLERYLITE	1.1.3	Resolved		
com_vikappointments	component		COM_VIKAPPOINTMENTS	1.5	Resolved		
com_vikrentcar	component		COM_VIKRENTCAR	1.11	Resolved		
com_vikrentitems	component		VikRentItems	1.4	Resolved		
com_virtuemart	component		VIRTUEMART	3.0.10	Resolved		
com_virtuemart	component		VIRTUEMART	3.2.14	Resolved		
com_virtuemart	component		VIRTUEMART	3.2.6	Resolved		
com_virtuemart_magiczoomplus	component		com_virtuemart_magiczoomplus	4.9.6	Resolved		
com_visualcalendar	component		Visualcalendar	3.1.6	Resolved	CVE-2018-6395	
com_zcalendar	package		Zap Calendar Lite	4.3.7	Resolved		
com_zhyandexmap	component		COM_ZHYANDEXMAP		Resolved		
imgresizecache	plugin	content	plg_content_imgresizecache	1.3.3	Resolved		
jsnframework	plugin	system	plg_system_jsnframework	2.1.6	Resolved		
jw_sig	plugin		Simple Image Gallery (by JoomlaWorks)	3.6.0	Resolved		
masteruser	plugin		Authentication - Master User	2.1.4	Resolved		
mod_ap_portfolio	module		AP Portfolio	3.3.2	Resolved		
mod_fancy_tagcloud	module		Fancy TagCloud	1.020	Resolved		
pkg_admintools	package		Admin Tools package	5.1.0	Resolved		
pkg_akeeba					Resolved		
pkg_akeebabackup	package		Akeeba Backup package	5.5.2	Resolved		
